id,date,title,name
,09/04/2019,Euro Swiss Franc (EUR/CHF) Exchange Rate Pushes Higher ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,12/04/2019,EUR/CHF : le franc suisse pourrait poursuivre sa baisse face  ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,17/04/2019,"FX Breakout Monitor: CHF weakness extends, gold breaks lower",2019_11_11-EURCHF-DowntrendMaySep-2019
,18/04/2019,Cycle Indicator Moves in AMGN & EuroSwiss Cross,2019_11_11-EURCHF-DowntrendMaySep-2019
,23/04/2019,"EUR/CHF : vendu face A leuro, le franc suisse peut craindre ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,23/04/2019,EUR/CHF climbs to five-month high as franc continues to hold ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,01/05/2019,Asset Managers Are More Pessimistic Than Ever on the Swiss ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,01/05/2019,Forex Trading: EURCHF Bounced at $1.134 to Continues Its ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,01/05/2019,SNB:Higher FX reserves to help EURCHF higher,2019_11_11-EURCHF-DowntrendMaySep-2019
,03/05/2019,"EUR/CHF : le franc suisse contre-attaque, leuro a peut-Ãªtre ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,20/05/2019,"Forex. EURCHF, otra alarma contra el riesgo",2019_11_11-EURCHF-DowntrendMaySep-2019
,20/05/2019,Idea de trading: Largo EURCHF en lÃ­mite inferior del rango de ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,31/05/2019,Potential SNB intervention draws closer as the franc gains on ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,04/06/2019,Forex. EURCHF. Sobreventa y punto positivo para los activos ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,20/06/2019,"Franc Gains as EURCHF, USDCHF Sink. US Dollar Rising ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,25/06/2019,EUR/CHF carves out a range after hitting a 23-month low,2019_11_11-EURCHF-DowntrendMaySep-2019
,26/06/2019,Euro and US Dollar May Continue Falling Against Swiss Franc ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,03/07/2019,Euro and US Dollar Struggle to Push Higher Against Swiss ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,11/07/2019,"USD/CHF, EUR/CHF Price Forecast: Potential Comeback for ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,15/07/2019,EUR/CHF: Closing in on levels where SNB might step in ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,18/07/2019,EUR/CHF: Its beginning to look a lot like 1.05,2019_11_11-EURCHF-DowntrendMaySep-2019
,19/07/2019,EUR/CHF to break lower as ECB QE expectations build - ING,2019_11_11-EURCHF-DowntrendMaySep-2019
,24/07/2019,EURCHF Rate Trades to Fresh 2019 Low Ahead of ECB ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,24/07/2019,EURUSD and EURCHF In the ECB Rate Decision Crosshairs,2019_11_11-EURCHF-DowntrendMaySep-2019
,24/07/2019,"USD/CHF, EUR/CHF Price Forecast: Levels and Thresholds to ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,05/08/2019,EUR/CHF falls to fresh two-year low as franc extends gains on ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,05/08/2019,EUR/CHF: Risk-off and dovish ECB calls for SNB intervention ...,2019_11_11-EURCHF-DowntrendMaySep-2019
,07/08/2019,EUR/CHF Approaching HFT Sell Zone!,2019_11_11-EURCHF-DowntrendMaySep-2019
,21/08/2019,"USD/CHF, EUR/CHF Price: May Correct Higher as Support ...",2019_11_11-EURCHF-DowntrendMaySep-2019
,26/08/2019,EUR/CHF Stalls At Key Support Whilst Signs Of SNB ...,2019_11_11-EURCHF-DowntrendMaySep-2019
